rating,reviewer_id,date,review_title,review_body
5.0,April,2025-11-14,,This mattress was worth the price just let a responsible person open it my 21 year old daughter was almost knocked over when she cut into it. My son loves the comfort.
1.0,Brenda,2025-11-01,WORST MATTRESS EVER!!!,"I bought this mattress for my grandson , it is very thin and you can feel the springs in it , definitely would not ever buy this again or recommend this to anyone either!!!"
1.0,Raza,2025-11-07,NOT RETURNABLE!!!!,"This mattress is NOT RETURNABLE despite walmarts website sayin it is returnable. I received a used, damaged mattress. Walmart will only refund it if you can get it back into the box and that's impossible."
5.0,Charity,2025-09-13,Very nice,I like that the size is bigger than what I thought it would be and that it's a nice fit for my little cousin and her room.She says it's very comfortable.
5.0,Janna,2025-07-31,,"For the price we paid, we were surprised at how comfortable the mattress was. We have a full bed with a really outdated mattress. We did not want to spend hundreds on a set when the bed is only slept on a couple times a year."
2.0,Kimaya,2025-09-30,Not worth it,"I'm very grateful for the bed but this is not up to standard for the price. The springs are so hard, the bed is very flimsy and thin. I'm going to have to buy a mattress topper for this. But the size is good."
5.0,Carolyn,2025-09-08,,"Finally a good firm supportive mattress. First descent sleep in a long time. Amazing how it comes shrink wrapped, then snaps right to full size. Better than I expected. Thank you !"
1.0,candice,2025-11-21,,"This mattress has no comfort at all, all you feel are springs in your back, hips, etc. I will never buy another mattress or mattress topper from Walmart"
1.0,Ann,2025-11-22,,"Very thin with little support. Springs pushed right through the material. My seven year old only laid on it for a minute, it instantly went flat and he complained that it poked him."
5.0,Sharon,2025-11-29,,was the worst mattress i ever slept on. mattress was to thin and never completely filled out.material was loose on mattress. mattress had too much movement. itwas the worst. I had to purchase another mattress it was a waist of my money.
1.0,Niloofar,2026-02-01,Not firm as it says in description,"Not firm at all it's medium to soft , I have return it. But returned process was very smooth and no hassle. Thanks Walmart for great customer service"
5.0,Tasha,2026-02-04,"zinus xl 6"" twin spring mattress",I was amazed for the price really good quality the stitching around the the mattress is done with double stitching. I feel like for heavier person purchase the mattress pad as well for extra padding.
5.0,Brittany,2025-09-14,Mattress,We got this for daughter for her floor bed and it is comfy I would wait 2 to maybe 3 days before laying on it to make sure it completely fills out like it needs to. Other than that it's a nice mattress
5.0,Brittany,2025-09-14,Mattress,We got this for daughter for her floor bed and it is comfy I would wait 2 to maybe 3 days before laying on it to make sure it completely fills out like it needs to. Other than that it's a nice mattress
1.0,Johnny,2026-02-20,,I opened the box removed the mattress and put it on the floor and cut off all the plastic so I could expand. I let it set there for 48 hours and it still was not totally expanded. I got the 6 inch and it only expanded to 4 1/2 inches.
1.0,jessica,2025-07-18,terrible and no support,this is the worst bed ive ever purchased. i got it for my toddler and even he couldnt sleep on it. you feel every single spring. we set it on the floor and as soon as you lay on it you touch the ground. it has zero support
1.0,martin,2025-05-02,,"Worst Experience Ever. The incompetence of Walmart employees was mind boggling. Walmart chose no responsibility of the lost merchandise and even advised me that I should walk around the neighborhood to see if I could find out if it was delivered to wrong address?? That is illegal and a crime in California. You can't go onto someone else's property without permission and take items that you think are yours! Walmart even has that on their own website that it's okay to do it without consent, I guess they're taking responsibility if a neighbor believes you're a porch pirate and protects what he believes is right. No wonder Walmart has so many open lawsuits against the company. They just don't care about the safety and efficacy of their customers. Please post this, although nothing will change"
5.0,Karen,2025-04-18,Zinus Forever,"Imagine my delight when I discovered that Walmart carries Zinus mattresses at an unbelievably low price point. As a DV victim turned thriver, this will is the first mattress in my life that hadn't been urinated on by an alcoholic. It's the best sleep I've ever had but also my two dogs and two cats as well. Highly recommend Zinus 10/10"
1.0,Bethany,2025-06-25,Can feel springs,"Can feel the spring through the mattress when laying on it. Bought for our 4 year old and she doesn't care, but not comfortable for normal size adults."
3.0,Tiffany,2025-06-29,,bed there's barely any padding to cover the springs. you can feel every spring. It looks nice and as well stitched but very uncomfortable would not recommend.
5.0,Shay,2025-06-21,Great Bang for Your Buck.,"I ordered this mattress for my daughter. It arrived in a timely manner and was as advertised. It recovered well from being ""boxed"" and she says it is comfortable. Well worth the money."
5.0,WalmartCustomer,2025-01-04,,"Mattresses are lightweight, but sturdy. They are easy to unpack and handle. We've slept on them two nights now and they're very comfortable. Great for an easy sleeping arrangement for kids or small spaces."
3.0,WalmartCustomer,2025-01-11,,"Very soft, doesn't seem to be of good quality, but it will be used as a bed under a trundle bed, only to be used a few times, by a child, an adult wouldn't sleep well on it."
4.0,WalmartCustomer,2024-10-08,,"I have still not received my package. Being delayed for two days for a big mattress, I know things could happen along the way. But I did need this mattress on the first delivery time as it is a need that was important, along with the twin mattress I ordered together and expected both to arrive at the same day."
2.0,SG84,2025-01-29,awesome product 3rd party delivery service sucks!,"The item itself is perfect and just what I wanted however Walmart uses Lasership for a 3rd party delivery service and they suck! Package was delivered yesterday afternoon and today I finally found out. It was delivered to the wrong address, this isnt the 1st time this has happened. i plan on stopping orders from Walmart until they find another delivery service.. I should not have to waste my time and gas to track down my own package..."
3.0,Marie,2025-03-08,mattress was good delivery was terrible,the mattress was good the delivery supposed to come Friday (fed-ex) didn't get until Sunday needed cause my 84 yr old dad moved in on that Friday he had no mattress for his bed 2 days and that was very much a problem him trying to sleep on the couch 😑
1.0,DontBuy,2025-03-05,Desperate for Attention Zinus?,This is being sold as a mattresss its false. If I accidently reported your review my apologies... Somehow I see this as a joke someone sitting back laughing at all the dumb folks that fell for this. Jokes on you! Do the world a favor and please dont waste our time.
1.0,Jude,2025-02-06,,They have a lot of big talk about how amazing this product is but most companies do it's better than sleeping on an air mattress but honestly it's probably better to use as a dog bed if you have large dogs lol or use it as a camping mattress in a trailer or the back of a truck or suv just save up and buy a better mattress honestly
1.0,Faelicia,2025-03-10,,It is 3 inches! Not six! I can feel the springs with my hand. A good enough mattress topper will be another $50… I got an actual 6” firm sinus mattress on Amazon 5 months ago for $20 more that was VERY NICE! I regret buying this. I did t realize til it arrived that I didn't buy they same as last time! I meant to but the nice one again that I got from Amazon! This mattress folds so easily. If you sit on the edge the springs flatten to nothing! Don't but this if you like firm mattress!
1.0,Kelley,2025-02-09,,This mattress is not what it's supposed to be the quality is ridiculously horrible. . It's barely 4 inches tall. It came rolled up in a box dirty. You can feel the springs on both sides. Walmart should not continue to sell this product. Inferior doesn't even describe the quality of this product.
2.0,Walmart customer,2025-03-05,Don't do it!!,It's okay for maybe a little child however I purchased 2 of these for a daybed and trundle. You can hear the springs when you sit on it feels as if they're about to pop any second. Wasn't worth $70.00 at best $40. I'll definitely need to replace these in the near future.
1.0,DarlaA,2025-02-21,Not great,"This mattress is pretty uncomfortable, I can feel the springs and when I sit on the bed, I can feel the bars of the bedframe, I would suggest a mattress topper, but I don't even know if that would help. I'm laying on my stomach on it, and I can feel the springs in my ribs."
