rating,reviewer_id,date,review_title,review_body
,Chelsea,2026-01-20,,Terrible mattress. Super thin with little to no support. You can feel the inner springs through the fabric. Less than 100 lbs and you can literally hit the box spring when you sit down We are having to replace it not 5 months later. Fine for display only do not waste your money.
,Nitejezter,2025-09-11,,"For the price it's ok! 😏If your out of options BUT,... 🤨If your idea was firmness or comfort forget about it! 🫤 The top layer may as well be paper. Yup that thin! you feel (and by the pics) See every spring!... and hear too!, 😐Which you know....helps for sleeping...! 🧐My Advice: Spend a few more bucks and get something better. Zinus really dropped the balls in these last few yrs. ☹️Shame!"
,Susan,2026-01-01,,This mattress looks nice in the picture but it disappoints in real life. Looks and feels cheap and uncomfortable. You can definitely feel the springs. It's basically an oversized crib mattress and it doesn't fully fit the bed frame. I was disappointed when I saw it.
,Lakeisha,2026-02-01,,"It took longer than expected. It kept rescheduling delivery and was off by a few days, which threw off my assembly schedule and I still haven't gotten that worked out yet they keep bringing out one person, but tell me that two is needed, and they are having to reschedule so it has been an inconvenience."
,hunt16,2026-02-02,,This is the 2nd one I purchased and I'm very displeased. I thought the problem was in the bed itself but the mattress 'broke down' on the edge after just a few weeks giving me back problems. The break down is where I set down to swing my legs up on the bed.
,Mary,2026-02-24,,"Mattress arrived rolled in box. I unpacked it and let it lay on bed foundation for 3 nights as directed. And then…… Mattress completely collapes when I set on it. Not med-firm as stated. It does not meet the weight as described. This was a bad purchase for me to make, however I am sleeping on it as I have nothing else to sleep on. Therefore I will keep it until I can get another."
,anonymous,2025-08-19,,"We bought it for my son's dorm. The mattress was at good price, but lacks support to the back. The mattress sinks as soon as I sit on it and I'm only around 100 pounds. I would like to return it but it requests to be taken to the store or repack it for free pick up. It's not possible for us to repack this mattress because it came in a tightly bundled roll and spread to full size after we opened the package. Now we are stuck with this one and need to think about how we can dispose it."
,SCRAPBOOKINGVLCS,2026-03-04,,THE MATTRESS COMES COMPRESSED.......... IT WILL TAKE BETWEEN 48-72 HOURS TO DECOMPRESS........... BECAREFUL WHEN YOU OPEN THE CARTOON SO AS NOT TO DAMAGE THE MATTRESS............ IT PLUMPS UP REALLY NICE ONCE ALL IS SAID AND DONE............ IT IS NICE AND FIRM WITH A GEL PAD IN THE MATERIAL FOR A FULL NIGHTS SLEEP............ EASY SET-UP...... STAND BACK AS THEY SAY IT KNOW KUNG FU.............. HEHEHEHE HIGHLY RECOMMEND................
,Jenny,2026-03-06,,Got this for my son's floor bed. Not sure if it's because I'm used to sleeping on memory foam mattresses but because the top layer is so thin I can feel every single spring. It does fit the bed frame perfectly and I like the height my toddler son sleeps fine on it but as an adult I wouldn't get this for myself or anyone over 100lbs. Maybe a separately topper would help.
,Joan,2026-03-03,,"I bought this mattress for a 6-month stay at a temporary address. I am ""camping out"" and do not intend to keep the mattress after the 6 months. As a temporary mattress, it is okay, but I would not recommend it for ongoing use. Too soft, and you can feel the springs when you move your sleeping positions."
,Chelsea,2026-01-20,,Terrible mattress. Super thin with little to no support. You can feel the inner springs through the fabric. Less than 100 lbs and you can literally hit the box spring when you sit down We are having to replace it not 5 months later. Fine for display only do not waste your money.
,Nitejezter,2025-09-11,,"For the price it's ok! 😏If your out of options BUT,... 🤨If your idea was firmness or comfort forget about it! 🫤 The top layer may as well be paper. Yup that thin! you feel (and by the pics) See every spring!... and hear too!, 😐Which you know....helps for sleeping...! 🧐My Advice: Spend a few more bucks and get something better. Zinus really dropped the balls in these last few yrs. ☹️Shame!"
,Susan,2026-01-01,,This mattress looks nice in the picture but it disappoints in real life. Looks and feels cheap and uncomfortable. You can definitely feel the springs. It's basically an oversized crib mattress and it doesn't fully fit the bed frame. I was disappointed when I saw it.
,Lakeisha,2026-02-01,,"It took longer than expected. It kept rescheduling delivery and was off by a few days, which threw off my assembly schedule and I still haven't gotten that worked out yet they keep bringing out one person, but tell me that two is needed, and they are having to reschedule so it has been an inconvenience."
,hunt16,2026-02-02,,This is the 2nd one I purchased and I'm very displeased. I thought the problem was in the bed itself but the mattress 'broke down' on the edge after just a few weeks giving me back problems. The break down is where I set down to swing my legs up on the bed.
,Mary,2026-02-24,,"Mattress arrived rolled in box. I unpacked it and let it lay on bed foundation for 3 nights as directed. And then…… Mattress completely collapes when I set on it. Not med-firm as stated. It does not meet the weight as described. This was a bad purchase for me to make, however I am sleeping on it as I have nothing else to sleep on. Therefore I will keep it until I can get another."
,anonymous,2025-08-19,,"We bought it for my son's dorm. The mattress was at good price, but lacks support to the back. The mattress sinks as soon as I sit on it and I'm only around 100 pounds. I would like to return it but it requests to be taken to the store or repack it for free pick up. It's not possible for us to repack this mattress because it came in a tightly bundled roll and spread to full size after we opened the package. Now we are stuck with this one and need to think about how we can dispose it."
,SCRAPBOOKINGVLCS,2026-03-04,,THE MATTRESS COMES COMPRESSED.......... IT WILL TAKE BETWEEN 48-72 HOURS TO DECOMPRESS........... BECAREFUL WHEN YOU OPEN THE CARTOON SO AS NOT TO DAMAGE THE MATTRESS............ IT PLUMPS UP REALLY NICE ONCE ALL IS SAID AND DONE............ IT IS NICE AND FIRM WITH A GEL PAD IN THE MATERIAL FOR A FULL NIGHTS SLEEP............ EASY SET-UP...... STAND BACK AS THEY SAY IT KNOW KUNG FU.............. HEHEHEHE HIGHLY RECOMMEND................
,Jenny,2026-03-06,,Got this for my son's floor bed. Not sure if it's because I'm used to sleeping on memory foam mattresses but because the top layer is so thin I can feel every single spring. It does fit the bed frame perfectly and I like the height my toddler son sleeps fine on it but as an adult I wouldn't get this for myself or anyone over 100lbs. Maybe a separately topper would help.
,Joan,2026-03-03,,"I bought this mattress for a 6-month stay at a temporary address. I am ""camping out"" and do not intend to keep the mattress after the 6 months. As a temporary mattress, it is okay, but I would not recommend it for ongoing use. Too soft, and you can feel the springs when you move your sleeping positions."
,Joan,2026-03-03,,"I bought this mattress for a 6-month stay at a temporary address. I am ""camping out"" and do not intend to keep the mattress after the 6 months. As a temporary mattress, it is okay, but I would not recommend it for ongoing use. Too soft, and you can feel the springs when you move your sleeping positions."
